topology,avg_naive_cost,avg_refined_cost,avg_naive_hops,avg_refined_hops,avg_runtime_sec,avg_routing_latency,cost_improvement_vs_naive_pct,hop_improvement_vs_naive_pct,avg_naive_success,avg_refined_success
full_mesh,1602.6666666666667,760.0,300.6666666666667,90.0,0.7192409833272299,450.0,52.5743106010319,70.059715640601,1.8348928112881595e-07,0.007269511713424884
line,2432.6666666666665,1001.0,466.6666666666667,140.33333333333334,1.5405443509419758,701.6666666666666,58.853697285441314,69.93194688917123,3.731439072738866e-11,0.0005748765606627905
ring,2122.6666666666665,880.6666666666666,404.6666666666667,115.33333333333333,1.026666800181071,576.6666666666666,58.5061982732179,71.49488951318342,9.148920472949946e-10,0.0020247699597505052
